line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elasped_time,image_size,first_task,H palm,flowering,leafless
11932,4986192,20161006_Zone3_S2_0532,QIefa4d0d7,3130,1.13,23164029,2016-12-12 15:00:56 UTC,0:03:37,"[2000, 1500]",Yes,"[[1230, 799, 101, ""h""], [1855, 523, 107, ""h""], [773, 511, 72, ""h""], [702, 1270, 97, ""h""], [806, 1258, 100, ""h""], [1301, 2, 101, ""h""], [939, 2, 82, ""h""]]",[],"[[42, 1024, 622, ""l""], [1745, 1000, 238, ""l""]]"
11933,4989023,20161006_Zone3_S4_1052,QIe56d1e90,3130,1.13,23164039,2016-12-12 15:01:03 UTC,0:01:47,"[2000, 1500]",Yes,"[[1559, 811, 138, ""h""], [707, 275, 155, ""h""]]",[],[]
11934,4982588,20161003_Zone4_S1_266,Visitor,3130,1.13,23164042,2016-12-12 15:01:05 UTC,0:05:03,"[2000, 1500]",Yes,"[[1678, 1042, 131, ""h""]]",[],[]
11935,4993176,20161004_Zone6_S2_021,malone929,3130,1.13,23164045,2016-12-12 15:01:06 UTC,0:08:56,"[1100, 825]",Yes,"[[962, 279, 89, ""h""]]","[[98, 167, 108, ""f""], [986, 611, 87, ""f""]]","[[57, 710, 89, ""l""]]"
11936,4990756,20161007_Zone2_S4_022,Nauter,3130,1.13,23164049,2016-12-12 15:01:12 UTC,0:00:41,"[1060, 795]",Yes,[],[],"[[169, 209, 166, ""l""]]"
11937,4985160,20161006_Zone3_S1_0110,QI4803853a,3130,1.13,23164053,2016-12-12 15:01:14 UTC,0:00:29,"[2000, 1500]",Yes,[],[],"[[1147, 1355, 230, ""l""]]"
11938,4984371,20161003_Zone4_S4_020,dickdg,3130,1.13,23164062,2016-12-12 15:01:22 UTC,0:02:40,"[2000, 1500]",Yes,[],"[[890, 950, 63, ""f""], [549, 1091, 196, ""f""], [173, 848, 155, ""f""], [1418, 285, 211, ""f""], [865, 340, 95, ""f""]]","[[1309, 1187, 72, ""l""], [1248, 895, 77, ""l""], [1089, 1339, 126, ""l""], [1130, 1090, 111, ""l""]]"
11939,4983959,20161003_Zone4_S3_172,QIefa4d0d7,3130,1.13,23164064,2016-12-12 15:01:23 UTC,0:00:25,"[1995, 1500]",Yes,[],[],"[[169, 212, 90, ""l""], [1206, 853, 112, ""l""]]"
11940,4993830,20161004_Zone6_S4_063,Visitor,3130,1.13,23164071,2016-12-12 15:01:29 UTC,0:00:54,"[1200, 900]",Yes,"[[168, 69, 73, ""h""]]",[],"[[1122, 385, 120, ""l""], [1115, 593, 84, ""l""], [1132, 128, 82, ""l""]]"
11941,4989248,20161007_Zone1_S1_022,OwenEdmonds,3130,1.13,23164080,2016-12-12 15:01:40 UTC,0:00:40,"[900, 675]",Yes,"[[405, 348, 61, ""h""], [578, 340, 47, ""h""], [319, 274, 54, ""h""]]","[[242, 447, 91, ""f""], [753, 492, 179, ""f""]]","[[814, 74, 68, ""l""], [764, 194, 90, ""l""]]"
11942,4990181,20161007_Zone2_S2_208,QIe56d1e90,3130,1.13,23164082,2016-12-12 15:01:41 UTC,0:00:29,"[900, 675]",Yes,"[[487, 453, 72, ""h""], [860, 387, 55, ""h""]]",[],[]
11943,4989191,20161006_Zone3_S4_1163,QIefa4d0d7,3130,1.13,23164084,2016-12-12 15:01:41 UTC,0:00:14,"[2000, 1500]",No,[],[],[]
11944,4990987,20161007_Zone2_S4_140,QI4803853a,3130,1.13,23164086,2016-12-12 15:01:43 UTC,0:00:26,"[1060, 795]",No,[],[],[]
