subject_id,project_id,workflow_ids,subject_set_id,metadata,locations,classifications_by_workflow,retired_in_workflow
1977283,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_7.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_7.jpeg"",""center_lat"":""-0.5446030229488347"",""center_lon"":""-80.51463045372768"",""upper_left_lat"":""-0.5364686627401235"",""upper_left_lon"":""-80.52271106379851"",""bottom_left_lat"":""-0.5527386819648762"",""bottom_left_lon"":""-80.52270978408781"",""upper_right_lat"":""-0.5364673723775488"",""upper_right_lon"":""-80.50655114502722"",""bottom_right_lat"":""-0.5527373524658946"",""bottom_right_lon"":""-80.50654982199262""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a18febeb-afc6-4ee9-9ce1-602bda70c59c.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/99dfe794-16b1-421a-9b85-3a6fcaf192d4.jpeg""}",null,[]
1977284,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_9.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_9.jpeg"",""center_lat"":""-0.5608730223224394"",""center_lon"":""-80.51462913291276"",""upper_left_lat"":""-0.5527386819648762"",""upper_left_lon"":""-80.52270978408781"",""bottom_left_lat"":""-0.5690087002915101"",""bottom_left_lon"":""-80.5227084661398"",""upper_right_lat"":""-0.5527373524658946"",""upper_right_lon"":""-80.50654982199262"",""bottom_right_lat"":""-0.5690073316559182"",""bottom_right_lon"":""-80.50654845942624""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c5859381-0dc6-4226-b287-460c7587d6b3.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e62e511d-e065-42f4-aba3-6c75e64828bf.jpeg""}",null,[]
1977285,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_11.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_11.jpeg"",""center_lat"":""-0.5771430207846066"",""center_lon"":""-80.51462777321302"",""upper_left_lat"":""-0.5690087002915101"",""upper_left_lon"":""-80.5227084661398"",""bottom_left_lat"":""-0.5852787176935926"",""bottom_left_lon"":""-80.522707109954"",""upper_right_lat"":""-0.5690073316559182"",""upper_right_lon"":""-80.50654845942624"",""bottom_right_lat"":""-0.5852773099211805"",""bottom_right_lon"":""-80.50654705732752""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/50121cc6-8e60-4449-b705-f5f461be79c0.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/773ff655-fc19-4a77-a91d-87b27d4b2e85.jpeg""}",null,[]
1977286,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_13.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_13.jpeg"",""center_lat"":""-0.5934130183089005"",""center_lon"":""-80.51462637462795"",""upper_left_lat"":""-0.5852787176935926"",""upper_left_lon"":""-80.522707109954"",""bottom_left_lat"":""-0.6015487341446909"",""bottom_left_lon"":""-80.52270571552984"",""upper_right_lat"":""-0.5852773099211805"",""upper_right_lon"":""-80.50654705732752"",""bottom_right_lat"":""-0.6015472872352432"",""bottom_right_lon"":""-80.50654561569593""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2141483b-aced-4ebf-8179-e8e6eb05b3e0.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6ea30b9d-592f-4915-878f-6a26e1b58612.jpeg""}",null,[]
1977287,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_15.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_15.jpeg"",""center_lat"":""-0.6096830148688854"",""center_lon"":""-80.51462493715698"",""upper_left_lat"":""-0.6015487341446909"",""upper_left_lon"":""-80.52270571552984"",""bottom_left_lat"":""-0.6178187496183726"",""bottom_left_lon"":""-80.52270428286675"",""upper_right_lat"":""-0.6015472872352432"",""upper_right_lon"":""-80.50654561569593"",""bottom_right_lat"":""-0.6178172635716673"",""bottom_right_lon"":""-80.50654413453084""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f73028ff-6c04-44b4-bed1-daebe0a94486.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/19670a7b-f06e-4912-a7b9-e9e1664443d1.jpeg""}",null,[]
1977288,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_17.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_17.jpeg"",""center_lat"":""-0.6259530104381265"",""center_lon"":""-80.51462346079951"",""upper_left_lat"":""-0.6178187496183726"",""upper_left_lon"":""-80.52270428286675"",""bottom_left_lat"":""-0.6340887640882058"",""bottom_left_lon"":""-80.5227028119642"",""upper_right_lat"":""-0.6178172635716673"",""upper_right_lon"":""-80.50654413453084"",""bottom_right_lat"":""-0.6340872389040157"",""bottom_right_lon"":""-80.50654261383171""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3ba0b05d-9847-4f68-99b4-9f7d914782c2.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dab57afa-7e84-49d2-b833-54b8b17e5c73.jpeg""}",null,[]
1977289,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_19.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_19.jpeg"",""center_lat"":""-0.6422230049901888"",""center_lon"":""-80.51462194555499"",""upper_left_lat"":""-0.6340887640882058"",""upper_left_lon"":""-80.5227028119642"",""bottom_left_lat"":""-0.650358777527759"",""bottom_left_lon"":""-80.52270130282157"",""upper_right_lat"":""-0.6340872389040157"",""upper_right_lon"":""-80.50654261383171"",""bottom_right_lat"":""-0.6503572132058502"",""bottom_right_lon"":""-80.50654105359791""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a080f77b-9782-4ba9-a4ea-765ff4812ff4.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fbd075b9-e921-4ba8-8960-022bae6a76c7.jpeg""}",null,[]
1977290,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_21.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_21.jpeg"",""center_lat"":""-0.6584929984986381"",""center_lon"":""-80.51462039142278"",""upper_left_lat"":""-0.650358777527759"",""upper_left_lon"":""-80.52270130282157"",""bottom_left_lat"":""-0.6666287899106007"",""bottom_left_lon"":""-80.52269975543828"",""upper_right_lat"":""-0.6503572132058502"",""upper_right_lon"":""-80.50654105359791"",""bottom_right_lat"":""-0.6666271864507336"",""bottom_right_lon"":""-80.50653945382885""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d044c5c2-b780-4dfc-99ac-5f801a64a4ca.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2aa88fa1-1b91-48b9-851c-132d6fa5b9be.jpeg""}",null,[]
1977291,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_23.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_23.jpeg"",""center_lat"":""-0.6747629909370401"",""center_lon"":""-80.5146187984023"",""upper_left_lat"":""-0.6666287899106007"",""upper_left_lon"":""-80.52269975543828"",""bottom_left_lat"":""-0.6828988012103002"",""bottom_left_lon"":""-80.52269816981371"",""upper_right_lat"":""-0.6666271864507336"",""upper_right_lon"":""-80.50653945382885"",""bottom_right_lat"":""-0.682897158612229"",""bottom_right_lon"":""-80.50653781452384""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fe66c709-37da-425d-a1d1-0448d098369b.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dc44c554-feaf-480c-8d3c-c5c48d109cb1.jpeg""}",null,[]
1977292,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_25.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_25.jpeg"",""center_lat"":""-0.6910329822789611"",""center_lon"":""-80.51461716649288"",""upper_left_lat"":""-0.6828988012103002"",""upper_left_lon"":""-80.52269816981371"",""bottom_left_lat"":""-0.6991688114004265"",""bottom_left_lon"":""-80.52269654594721"",""upper_right_lat"":""-0.682897158612229"",""upper_right_lon"":""-80.50653781452384"",""bottom_right_lat"":""-0.6991671296638998"",""bottom_right_lon"":""-80.50653613568227""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6a96d796-1949-4f48-bc04-118fd0b15b0d.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e2b2e68d-ac2b-4537-8044-04f568593bcd.jpeg""}",null,[]
